Source	Locus 1	Loucs 2	Locus 3	Full Gloss	Translation	IMMEDIATE CONTEXT	IMMEDIATE CONTEXT TRANSLATION	MORPH	MORPH TRANS	MORPH ANALYSIS	MORPH CONTEXT	LEMMA OF MAIN VERB	CLAUSAL SUBJECT	SUBJECT ANALYSIS	GOV CONTEXT	GOV CONTEXT TYPE	GOV CONTEXT LEMMA	GOV CONTEXT SBJ	GOV CONTEXT SBJ ANALYSIS	SBJ~MORPH COREFERENCE	SBJ~OTHER	MORPH REFLEXIVE	Note
MT	POMIC	mt.341	N/A	antand do-n-ecmaing aircend praindo 7 suscitatur corpus ad cupidinem ceith mín cid anmín ni h ecoir lais <s>im ind praind sin do adcor for sind comdid ar bruc friss ut dicat . “ do-selbi fein tra do praind ”	When at the end of a meal the body happens to be roused to lust, slightly or strongly, he considers it not amiss to cast that meal back upon the Lord in displeasure at him, as if one should say "There, keep your meal for yourself!"	do-selbi fein tra do praind	There, keep your meal for yourself!	do-selbi fein	keep … for yourself	2sg.Null_Pronoun_INTS	PRON-SBJ	do-selbai	- fein	2sg.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Cam	POMIC	cam.010	N/A	is ee ar ndiltuth dunn fanissin mani cometsam dear tolaib ocuis ma fristossam dear pecthib	Our denial of ourselves is this: if we do not indulge our desires and if we abjure our sins.	ar ndiltuth dunn fanissin	Our denial of ourselves	dunn fanissin	of ourselves	1pl.Null_Pronoun_INTS	PP-COMP	do-sluindi	ar	1pl.possessive	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Wb.	033d10	N/A	N/A	intan durairngert dia du abracham amaithsin ducuitig tarais fadeissin arnirobe nech bad huaisliu taratoissed	when God had promised to Abraham that good, He sware by Himself, for there was no one more exalted by whom He could swear.	ducuitig tarais fadeissin	He sware by Himself	tarais fadeissin	by Himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	do-toing	-	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Wb.	012c26	N/A	N/A	.i. tuicci feissin ɫ. doáircci molad dó	i.e. he himself understands, or it produces praise for him.	tuicci feissin	he himself understands	tuicci feissin	he himself understands	3sg.masc.Null_Pronoun_INTS	PRON-SBJ	do-uccai	- feissin	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Wb.	013a08	N/A	N/A	.i. daucci feissin tantum 	i.e. he himself understands it tantum .	daucci feissin tantum 	he himself understands it tantum	daucci feissin 	he himself understands it	3sg.masc.Null_Pronoun_INTS	PRON-SBJ	do-uccai	- feissin	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Stokes, Whitley 1901	401	RC 22	https://archive.org/details/revueceltique22pari/page/400/mode/2up?view=theater	Ros-dolbsat iarom lucht in tside sin hi slúagu	So the folk of that elfmound shaped themselves into armies	Ros-dolbsat iarom lucht in tside sin hi slúagu	So the folk of that elfmound shaped themselves into armies	ros-dolbsat	shaped themselves	3pl.Infixed_Pronoun	PRON-OBJ	dolbaid	lucht in tside sin	sg.Noun(COLL)	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	The nominal subject is grammatically singular but collective. It is coreferential with a plural infixed pronoun
Atkinson, Robert 1887	60.675	Passions and the Homilies in the Leabhar Breac	https://archive.org/details/PassionsHomiliesLeabharBreac/page/59/mode/2up	co ro-s-dorchaig grian	so that the sun darkened	co ro-s-dorchaig grian	so that the sun darkened	ro-s-dorchaig	darkened	3sg.fem.Infixed_Pronoun	PRON-OBJ	dorchaigidir	grian	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	001d10	N/A	N/A	.i. níterpi illed nach áili	i.e. thou dost not trust thyself with any one else	níterpi illed nach áili	thou dost not trust thyself with any one else	níterpi	thou dost not trust thyself	2sg.Infixed_Pronoun	PRON-OBJ	erbaid	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	006c03	N/A	N/A	.i. isand nomérpimm	i.e. it is in Him I confide	nomérpimm	I confide <myself>	nomérpimm	I confide <myself>	1sg.Infixed_Pronoun	PRON-OBJ	erbaid	-	1sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	008a02	N/A	N/A	.i. níp and nob irpaid .i. in philosophia	i.e. not therein shall you trust <yourselves>	nob irpaid	shall you trust <yourselves>	nob irpaid	shall you trust <yourselves>	2pl.Infixed_Pronoun	PRON-OBJ	erbaid	-	2pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	022d06	N/A	N/A	.i. nachiberpidsi dano ibarcumachtu	do not trust <yourselves> then in your <own> power	nachiberpidsi dano ibarcumachtu	do not trust <yourselves> then in your <own> power	nachiberpidsi	do not trust <yourselves>	2pl.Infixed_Pronoun	PRON-OBJ	erbaid	si	2pl.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	029d05	N/A	S0006-1162	.i. atoraisin india .i. huare nadfil nanert nail indamerbainn	i.e. from trust in God, i.e. because there is no other strength in which I could have entrusted myself	indamerbainn	in which I could have entrusted myself	indamerbainn	in which I could have entrusted myself	1sg.Infixed_Pronoun	PRON-OBJ	erbaid	-	1sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	046d10	N/A	S0006-2723	.i. co nis nerbtais .i. is in miscuis cloín asmbeir dorigensat assir huare nach dudia duairilbset forb<r>isiud innaniudae acht is dianeurt fessin	i.e. so that they did not use to entrust themselves, i.e. it is the iniquitous hatred which he says that the Assyrians practiced, because it is not to God that they ascribed the routing of the Jews, but it is to their own strength.	co nis nerbtais	so that they did not use to entrust themselves	co nis nerbtais	so that they did not use to entrust themselves	3pl.Infixed_Pronoun	PRON-OBJ	erbaid	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	046d12	N/A	S0006-2725	nudaerbtais	who used to entrust themselves.	nudaerbtais	who used to entrust themselves	nudaerbtais	who used to entrust themselves	3pl.Infixed_Pronoun	PRON-OBJ	erbaid	-	3pl.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	051b10	N/A	S0006-3071	.i. intan asmber duaid intellectum tibi dabo sechis ardi son dombera dia doneuch nodneirbea ind 7 genas triit confestar cidas imgabthi do dunum diulc 7 cid as deinti do dimaith· aithesc tra lesom insin apersin dǽ	i.e. when David says, intellectum tibi dabo, that is to say, it a sign which God will give to everyone that shall trust in Him, and work through Him, so that he may know what it is of evil which is to be avoided doing, and what it is of good which is to be done by him. He has then here a reply in the person of God.	nodneirbea ind	that shall trust <himself> in Him	nodneirbea	that shall trust <himself> 	3sg.masc.Infixed_Pronoun	PRON-OBJ	erbaid	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	051b12	N/A	S0006-3073	.i. ní indfessin eirbthi 7 nachdoduaisilbi nanní dogní acht is dodia	i.e. it is not in himself that he trusts, and it is not to him<self> that he ascribes whatever he does, but it is to God.	eirbthi	that he trusts <himself>	eirbthi	he trusts <himself>	3sg.masc.Suffixed_Pronoun	PRON-OBJ	erbaid	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	065b06	N/A	S0006-4126	.i. nundnerbai ón	i.e. that is, <when> he trusts.	nundnerbai	he trusts <himself>	nundnerbai	he trusts <himself>	3sg.masc.Infixed_Pronoun	PRON-OBJ	erbaid	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	085d04	N/A	S0006-5283	.i. annutorasnigtis .i. nosnerbtis inna lín	i.e. when they used to have confidence, i.e. they used to trust in their number.	nosnerbtis inna lín	they used to trust <themselves> in their number	nosnerbtis	they used to trust <themselves>	3pl.Infixed_Pronoun	PRON-OBJ	erbaid	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
B-Brig	POMIC	bb.240	N/A	.xviii. n-ena dodechatar dind oenmiach 7 a rúr thisi fesni fo caisc	Eighteen vatfuls had come from the one sack, and what sufficed for herself over Easter.	7 a rúr thisi fesni fo caisc	and what sufficed for herself over Easter	thisi fesni	for herself	3sg.fem.Null_Pronoun_INTS	PP-COMP	feraid	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	FERAID USUALLY TAKES AN INFIXED PRONOUN, NOT A PREPOSITIONAL COMPLEMENT.
Sg.	004b06	004b08 i	S0007-82	.i. tinaid 7 at·bail .i. fa·cheirt in alios sonos.	i.e. it vanishes and perishes, i.e. it puts itself into other sounds.	fa·cheirt in alios sonos.	it puts itself into other sounds	facheirt	it puts itself	3sg.neut.Infixed_Pronoun	PRON-OBJ	fo-ceird	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	According to DIL this example is actually  non-reflexive. Rather this is an instance of the impersonal construction (see DILentry section  II (a)). The example is actually ambiguous between the reflexive and impersonal usage.
Wb.	019c15	N/A	N/A	amal m.bís cometid lammaccu nacharochlat	as there is a guardian with children who cannot take care of themselves	nacharochlat	who cannot take care of themselves	nacharochlat	who cannot take care of themselves	3pl.Infixed_Pronoun	PRON-OBJ	fo-cíallathar	-	3pl.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	101c03	N/A	S0006-6231	.i. fotchridigthersu a dǽ	i.e. may You gird Yourself, O God.	fotchridigthersu a dǽ	may You gird Yourself, O God	fotchridigthersu	may you gird yourself	2sg.Infixed_Pronoun	PRON-OBJ	fo-cridigedar	su	2sg.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
WMS	POMIC	wms.037	N/A	fosdáli rí ciarraigi trí secht cumal dib leiss fessin	The king of the Cíarraige distributes twenty-one cumala to them by himself.	fosdáli rí ciarraigi trí secht cumal dib leiss fessin	The king of the Cíarraige distributes twenty-one cumala to them by himself.	leiss fessin	by himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	fo-dálai	rí ciarraigi	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Ml.	038c26-27	N/A	S0006-1999	afundatferai ɫ. anunda frecndairc	when you present yourself, or when you are present.	afundatferai	when you present yourself	fundatferai	you present yourself	2sg.Infixed_Pronoun	PRON-OBJ	fo-fera	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	TRANSLATION UNCERTAIN.
Ml.	057d03	N/A	S0006-3590	.i. difuairsitis dia ǽs ní cosfuarsa innafurgradsin amal nachfuar fessin inneuch	i.e. that might have remained after him. I did not find those remains just as I did not find him himself in anything.	amal nachfuar fessin inneuch	just as I did not find him himself in anything	nachfuar fessin	I did not find him himself	3sg.masc.Infixed_Pronoun_INTS	PRON-OBJ	fo-gaib	-	1sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PRON-OBJ	N/A	NO	N/A
TDH	POMIC	tdh.027	N/A	7 fagbuis aigi budhein an camcornn	And he served to himself the Twisted Horn.	7 fagbuis aigi budhein an camcornn	And he served to himself the Twisted Horn.	airi budhein	to himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	fo-gaib	-	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Wb.	012b02	N/A	N/A	.i. andíten issairiu doib fognam donaballaib ailib doib oldaas cidafognam féisne cianubed leu	i.e. of protecting them: it is nobler for them to serve the other members than even to serve themselves, though it should be in their power.	cidafognam féisne	even to serve themselves	cidafognam féisne	even to serve themselves	3pl.Possessive_INTS	VBN-OBJ	fo-gní	-	PRO	issairiu doib … oldaas cidafognam féisne	ELIDED	is	-	3sg.neut.Null_Pronoun	PRO=VBN-OBJ	N/A	YES	PRO IDENTIFIED BY PP-COMP IN GOVERNING CONTEXT.
Sg.	161b05	61b33 n	S0007-2644	airindí fon/da·suidigedar/ hicummat(o) las/inni forsa·for/gair sech ba/ huaisliu/ intí for/chonga/ir iar/naic/ni/u/d/./,	because it <=supponit> puts itself on an equality with the one who orders it, though he that orders were naturally the superior	airindí fon/da·suidigedar/ hicummat(o) las/inni	because it puts itself <lit. herself> on an equality with the one	fon/da·suidigedar	it puts itself <lit. herself>	3sg.fem.Infixed_Pronoun	PRON-OBJ	fo-suidigidir	-	3sg.fem.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	072a07	N/A	S0006-4543	.i. iudei ɫ. subdere .i. fundatabartis	i.e. that they should subject themselves.	fundatabartis	that they should subject themselves	fundatabartis	that they should subject themselves	3pl.Infixed_Pronoun	PRON-OBJ	fo-tabair	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Sg.	211a08	211a30 r	S0007-3321	.i. ní adchumtig na/ aill do línad indḟ/oilsigthe fil and/ acht foilsigthi feisin/ cen ainm dothór/much fris.	i.e. it does not “adstruct” anything else to perfect the demonstration which is therein, but it demonstrates it itself without the addition of a noun to it.	acht foilsigthi feisin/	but it demonstrates it itself	foilsigthi feisin	it demonstrates it itself	3sg.neut.Null_Pronoun_INTS	PRON-SBJ	foilsigidir	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Ml.	024a17	N/A	S0006-737	.i. niruforaithmenairsom afirinni fadesin conid soirad dinaib fochaidib hirobae	i.e. he did not remember his own righteousness so that it might deliver him from the tribulations in which he was.	niruforaithmenairsom afirinni fadesin	he did not remember his own righteousness	afirinni fadesin	his own righteousness	3sg.masc.Possessive_INTS	NP-OBJ	for-aithminethar	som	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠NP-OBJ	SBJ=POSS	NO	N/A
Ml.	055c11	N/A	S0006-3408	nachidfrithgaib	who does not restrain himself.	nachidfrithgaib	who does not restrain himself	nachidfrithgaib	who does not restrain himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	fris-gaib	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Sg.	183b03	183b24 e	S0007-2791	Máil(?) .gaimrid(?) . dicit/ A sera obdita/ .i. ondfescur/ maull ɫ fri/tobarthu/ dothaidbsin/ inna inne fil/ isind. sera/ doberr an ob/dita .i. dond/ fritobairt/ maill frit/ataibret/ nadorche/ donṡoilsi/ is diṡin/ asberr sé/ra. m/all/ reliqua.-	Máil Gaimrid says A sera obdita, i.e. from the evening slow or opposed. To show forth the meaning which is in sera the obdita is put. From the slow opposition with which the darknesses oppose themselves to the light it is hence that sera „slow“ is said	frit/ataibret/ nadorche/ donṡoilsi	with which the darknesses oppose themselves to the light	frit/ataibret	with which ... oppose themselves	3pl.Infixed_Pronoun	PRON-OBJ	fris-tabair	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	005c01	N/A	N/A	....nu<n>dubgoithesi...bad...ba … inárpitissom	that ye should deceive yourselves ... that they were cast out	nu<n>dubgoithesi	that ye should deceive yourselves	nu<n>dubgoithesi	that ye should deceive yourselves	2pl.Infixed_Pronoun	PRON-OBJ	gáethaid	si	2pl.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	013d22	N/A	N/A	lasse gabas immbi	i.e. when he puts on himself	lasse gabas immbi	when he puts on himself	immbi	on himself	3sg.masc.Null_Pronoun	PP-COMP	gaibid	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Arm.Add.	POMIC	arm.109	N/A	7 gabsi cadessin (in) abbaith	and he took himself as abbot	7 gabsi cadessin (in) abbaith	and moreover <he> confirmed him as abbot	gabsi cadessin	moreover <he> confirmed him	3sg.masc.Suffixed_Pronoun_INTS	PRON-OBJ	gaibid	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	NO	THE TRANSLATION ADOPTED HERE IS BASED ON BYRNE 1982 (Ériu 1982, pg. 169). THE EXAMPLE IS INCLUDED HERE BECAUSE IT HAS OFTEN BEEN TRANSLATED AS A REFLEXIVE.
B-Brig	POMIC	bb.126	N/A	is ansae damsa ol brigit a biad feissin do gabail do crist	It is difficult for me, said Brigit, to deprive Christ of his own food.	a biad feissin do gabail do crist	to deprive Christ of his own food	a biad feissi	his own food	3sg.masc.Possessive_INTS	NP-OBJ	gaibid	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠NP-OBJ	PRO≠POSS	NO	N/A
Wb.	011d08	N/A	N/A	.i. Pelagius : perscrutanda est conscientia sí in nullo nós reprechendit <sup>h</sup> .i. na<n>glanad triaithirgi ↄnabǽ níi indid ningaba áchocubus	i.e. let him purify himself through penance, so that there be nothing for which his conscience may reprehend him.	na<n>glanad triaithirgi	let him purify himself through penance	nanglanad	let him purify himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	glanaid	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	030b19	N/A	N/A	.i. act ranglana treathirgi	i.e. provided he cleanse himself by repentance.	act ranglana treathirgi	provided he cleanse himself by repentance	ranglana	he cleanse himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	glanaid	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	096c13	N/A	S0006-5990	.i. roleldar díb són connachagluaistis incharbait	i.e. that is, they clung to them so that the chariots could not move.	connachagluaistis incharbait	so that the chariots could not move <themselves>	connachagluaistis	so that … could not move <themselves>	3pl.Infixed_Pronoun	PRON-OBJ	glúasaid	incharbait	pl.Noun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	030b20	N/A	S0006-1203	gníthisium fadesin .i. dauid	he makes it himself / he does so himself, i.e. David.	gníthisium fadesin	he makes it himself / he does so himself	gníthisium fadesin	he makes it himself	3sg.masc.Overt_Pronoun_INTS	PRON-SBJ	gniïd	sium	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	THE TRANSLATION IS UNCLEAR.
Sg.	209b12	209b15 y	S0007-3273	.i. mad adch/oimchlada/ch .i. gním ua/d feisin foir/ feisin 7 im·f/olṅgai césad/ dosom ingním/ hísin.- SIve/ transitivum .i. intair/mthechtach/ .i. ho persin do/ persin .i. gním/ dosom innach/ naile innunn/ 7 is césad do/ ṡuidiu gním/ onach ailiu/ foir sem an/all 7 iscesad/ dosom aḟodai/tiu sidi..,	i.e. if it be reciprocal, i.e. action from himself on himself, and that action causes passion <suffering> to him. Or transitivum, that is, transitive, i.e. from a person to a person, i.e. action by him into some other equal, and <the> action by some other on him is passion to <the> latter and the endurance of it is passion to him <the former>.	gním ua/d feisin foir/ feisin	action from himself on himself	ua/d feisin	from himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	gniïd	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠PP-COMP	N/A	NO	N/A
Sg.	209b12	209b15 y	S0007-3273	.i. mad adch/oimchlada/ch .i. gním ua/d feisin foir/ feisin 7 im·f/olṅgai césad/ dosom ingním/ hísin.- SIve/ transitivum .i. intair/mthechtach/ .i. ho persin do/ persin .i. gním/ dosom innach/ naile innunn/ 7 is césad do/ ṡuidiu gním/ onach ailiu/ foir sem an/all 7 iscesad/ dosom aḟodai/tiu sidi..,	i.e. if it be reciprocal, i.e. action from himself on himself, and that action causes passion <suffering> to him. Or transitivum, that is, transitive, i.e. from a person to a person, i.e. action by him into some other equal, and <the> action by some other on him is passion to <the> latter and the endurance of it is passion to him <the former>.	gním ua/d feisin foir/ feisin	action from himself on himself	foir feisin	on himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	gniïd	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠PP-COMP	N/A	NO	N/A
Wb.	029d10	N/A	N/A	.i. act immanárladmar	i.e. as soon as we may have conversed with one another	act immanárladmar	as soon as we may have conversed with one another	immanárladmar	we may have conversed with one another	1pl.Infixed_Pronoun?	PRON-OBJ	imm-acaldathar	-	1pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=?PRON-OBJ	N/A	UNC	THIS PROBABLY CONTAINS RECIPROCAL IMMA(N)- AND NOT RECIPROCAL IMM- FOLLOWED BY A PERSONAL INFIX. IF SO, THIS IS NOT REFLEXIVE. IF IT DOES CONTAIN IMM- AND AN INFIX, IT IS REFLEXIVE.
Ml.	131c19	N/A	S0006-7957	.i. immusacaldat	i.e. they converse together.	immusacaldat	they converse together	immusacaldat	they converse together	3pl.Infixed_Pronoun	PRON-OBJ	imm-acaldathar	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	RECIPROCAL IMM-
Wb.	018d03	N/A	N/A	.i. immuncualammar nímunaccammar	i.e. we have heard of one another, we had not seen one another	nímunaccammar	we had not seen one another	immuncualammar	we have heard of one another	1pl.Infixed_Pronoun	PRON-OBJ	imm-accai	-	1pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	RECIPROCAL IMM-
FingR	POMIC	fr.152	N/A	immotberi forna feraib, or Mael Fothartaig assa suidi	‘You have inflicted yourself on the men,’ said Máel Fothartaig from his seat.	immotberi forna feraib	You have inflicted yourself on the men	immotberi	you have inflicted yourself	2sg.Infixed_Pronoun	PRON-OBJ	imm-beir	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	018d03	N/A	N/A	.i. immuncualammar nímunaccammar	i.e. we have heard of one another, we had not seen one another	immuncualammar	we have heard of one another	nímunaccammar	we had not seen one another	1pl.Infixed_Pronoun	PRON-OBJ	imm-cluinethar	-	1pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	RECIPROCAL IMM-
Ml.	122a14	N/A	S0006-7357	annant mallaigthe .i. connach nimpád	when he is not delayed, i.e. so that he could not turn himself.	connach nimpád	so that he could not turn himself.	connach nimpád	so that he could not turn himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	imm-soí	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	002b05	N/A	S0006-20	.i. immidaircet 7 duaisilbter dopersain duaid   	i.e. which suit and are ascribed to the person of David	immidaircet … dopersain duaid   	which suit … to the person of David	immidaircet	which suit	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	-	3pl.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	002d04	N/A	S0006-40	immidaircet dochrist	which are appropriate to Christ	immidaircet dochrist	which are appropriate to Christ	immidaircet	which are appropriate	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	-	3pl.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	014d16	N/A	S0006-137	immandairi	that it might be appropriate	immandairi	that it might be appropriate	imandairi	that it might be appropriate	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	014d16	N/A	S0006-137	immandairi	that it might be appropriate.	immandairi	that it might be appropriate	immandairi	that it might be appropriate	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	017b19	N/A	S0006-297	maimmidarnactar	if they were appropriate	maimmidarnactar	if they were appropriate	immidarnactar	they were appropriate	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	024d05	N/A	S0006-789	immearnaic donaib gnimaib 7 dundfaithsini duaircet and	It suited the facts and the prophecy that was prophesied there	immearnaic donaib gnimaib 7 dundfaithsini	It suited the facts and the prophecy	immearnaic	it suited	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	025c15	N/A	S0006-867	immindaircet	that they are appropriate	immindaircet	that they are appropriate	immindaircet	that they are appropriate	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	035a07	N/A	S0006-1637	.i. remfoiti .i. asrubart pól .i. immeairic insalm so du iudeib 7 gentib	i.e. sent before, i.e. which Paul said, i.e. this psalm is appropriate to Jews and Gentiles.	immeairic insalm so du iudeib 7 gentib	this psalm is appropriate to Jews and Gentiles.	immeairic	is appropriate	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	insalm so	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	035a07	N/A	S0006-1637	immeairic insalm so du iudeib 7 gentib	This psalm is appropriate to Jews and Gentiles.	immeairic insalm so du iudeib 7 gentib	This psalm is appropriate to Jews and Gentiles	immeairic	is appropriate	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	insalm so	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	072d09	N/A	S0006-4602	.i. ciasu du duaid adfiadar is intitul imme airc son dano ezechiæ air nanni immeairc duduaid immeairc són ezechiæ	i.e. though it is to David that it <=the psalm> is ascribed in the title, it is suitable also to Hezekiah, for whatever is suitable to David is suitable to Hezekiah.	imme airc son dano ezechiæ	It is suitable also to Hezekiah	imme airc	it is suitable	3sg.neut.Infixed_Pronoun	UNC	imma-airicc	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
